구분,주거용,업무용,,,산업용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,합계
,,공공용,서비스업,업무용 계,농림어업,광업,제조업,,,,,,,,,,,,,,,,,,,,,,,,,,산업용 계,
,,,,,,,식료품,음료,담배,섬유제품,"의복,모피","가죽,가방","목재,나무","펄프,종이","인쇄,매체","연탄,석유",화학,"의료,의약",플라스틱,비금속,1차금속,금속가공,"전자,통신","의료,광학",전기장비,기타기계,자동차,기타운송,가구,기타제품,산업기계,제조업 계,,
강원,2433938.49,1619228.1,6809532.58,8428760.68,794162.64,427273.71,527697.58,131251.66,14.72,15441.41,1074.55,663.46,16249.37,23419.48,6821.56,966.8,90499.22,123246.66,97141.18,2809710.57,333733.32,35837.63,68397.31,37086.38,29902.61,35764.17,168111.1,31925.43,7146.82,9100.59,3004.16,4604207.74,5825644.09,16688343.26
개성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기,22962874.12,6522800.03,42149254.11,48672054.14,2739726.34,242270.34,2923380.48,345021.22,3226.34,1231205.23,122366.32,156095.55,479956.95,1789118.4,640910.57,38486.78,6176934.32,1126274.24,2083815.1,1492884.6,1878774.45,1961700.23,35950676.78,604407.74,1051117.55,3977468.31,2971418.78,89994.87,423088.07,1153050.05,13343.36,68684716.27,71666712.95,143301641.2
경남,5210684.17,1596999.46,9558712.36,11155711.82,2338490.27,61173.93,959309.02,139226.88,73375.44,179332.93,5106.88,61378.35,66948.78,736352.55,21718.67,7688.93,699538.71,9997.6,1053515.79,417223.58,3318987.86,1508252.44,656724.46,239230.81,1005570.51,1822865.51,2341546.09,2198467.09,24008.04,254651.03,10791.73,17811809.65,20211473.86,36577869.85
경북,3927705.69,1846305.6,8885235.34,10731540.94,2268225.65,184236.45,593361.03,81188.95,36741.36,2293889.07,11775.06,7964.59,71030.66,379057.94,10282.33,50769.93,2787668.2,44769.31,1007038.9,783326.13,8545621.58,767067.71,3663211.62,122605.76,1649945.07,925120.45,2589497.19,146604.67,25283.31,21203.95,6075.63,26621100.39,29073562.49,43732809.12
광주,2401829.16,610914.93,3479209.33,4090124.26,83567.84,2586.54,137343.32,40692.89,15221.28,130261.86,1907.42,73.86,5742.67,48144.24,18335.63,737.45,74151.41,2206.55,324208.94,24536.26,39360.83,141172.83,766189.06,33431.28,232091.52,181816.7,535665.53,2989.84,5278.8,2136.9,1542.93,2765239.99,2851394.36,9343347.78
대구,3935408.53,954150.07,6061851.03,7016001.1,142610.79,26064.03,233974.76,30425.69,26.55,609289.02,35388.94,4328.14,21156.14,461226.6,32845.87,11499.48,183539.67,15276.02,191005.53,82295.65,260727.52,600593.64,368694.61,101095.28,353080.45,482773.17,1447189.59,50782.94,16744.48,31302.24,1552.66,5626814.65,5795489.47,16746899.1
대전,2312804.48,1102742.2,4548812.88,5651555.07,36826.14,1268.73,143931.47,19150.14,71476.69,26677.2,2188.59,2288.75,4445.76,537724.81,16368.81,216.69,207927.49,60716.26,275651.27,32423.36,43068.39,52138.79,197875.53,52028.5,98582.67,94811.41,195134.32,13689.26,4095.08,14602.98,215.57,2167429.78,2205524.66,10169884.22
부산,5441255.82,1339656.27,8234870.37,9574526.64,109688.44,17824.21,624299.92,18054.79,4.17,153880.34,27991.9,85995.46,29660.45,30659.61,24328.19,5319.59,277166.02,38352.45,192022.88,96127.36,1637814.04,731951.57,96583.92,69444.53,145881.71,983737.24,1133212.63,260898.85,7807.16,33727.7,3082.4,6708004.88,6835517.52,21851299.98
서울,15336443.23,3830363.65,29813740.16,33644103.81,19757.53,1876.54,231309.34,13605,93.35,91128.89,279346.4,16812.1,3787.78,32940.84,166939.32,2448.55,37472.42,16484,40302.13,18540.74,10892.52,41815.12,48641.34,30555.02,20711.46,116707.75,16555.9,16651,2843.91,91759.08,1469.16,1349813.1,1371447.17,50351994.21
세종,708490.65,390974.97,1072764.77,1463739.74,96004.27,11405.65,134871.37,6990.65,0,17990.28,232.68,2109.88,1353.42,360884.11,1808.33,59.23,192694.23,65584.1,121961.16,424648.96,38463.9,12866.71,282393.75,5020.85,77309.7,35585.98,84450.03,553.44,335.8,3584.31,282.68,1872035.53,1979445.44,4151675.83
울산,1765790.62,568276.29,3738491.67,4306767.96,91837.38,11714.98,197038.58,13804.04,0,299801.01,908.56,727.47,14609.37,576338.71,3144.04,6130607.64,10411806.73,3948.91,603199.21,180795.07,2780443.09,208865.87,40997.03,21627.07,630674.41,214927.26,2250586.52,1153330.23,2340.24,1435.62,1013.19,25742969.85,25846522.21,31919080.79
인천,5244285.06,1115952.86,8642070.01,9758022.87,163551.54,72292.95,657986.44,16190.53,3.53,30508.07,10398,7738.95,385398.85,49873.25,84715.51,950603.77,428052.84,512035.09,254801.47,186554.21,1602602.74,532995.02,1480971.73,1545518.25,180090.87,843642.5,491259.6,53347.21,85949.19,330928.6,4075.92,10726242.12,10962086.61,25964394.54
전남,2768977.99,1388421.14,6080605.37,7469026.51,3554148.15,64515.43,874151.76,20914.37,8,148395.58,3431.4,467.52,22784.1,97680.36,1853.81,1272021.58,11933916.46,51510.93,369989.01,416885.02,2691809.24,131190.78,52218.92,11291.21,781753.77,71637.57,74294.18,667756.26,6527.37,6848.84,14737.63,19724075.65,23342739.23,33580743.73
전북,2734490.72,1160667.11,5352126.69,6512793.8,1771522.48,63188.59,1689616.43,116545.26,0,553762.17,10836.3,4648.03,258924.97,964665.41,6641.07,3977.77,2148042.58,43572.57,260840.84,562415.95,2011037.21,139859.74,423176.99,31285.74,239256.57,148098.38,824186.13,90126.66,5243.46,16177.33,5213.94,10558151.51,12392862.58,21640147.1
제주,1078599.03,378074.62,2984396.37,3362470.98,1441211.43,7310.85,114371.46,82955.48,0,222.56,144.2,23.28,1287.47,20474.2,1198.37,35.6,29399.16,8959.03,6977.69,25063.67,2123.58,2337.81,1693.98,1006.04,1713.78,2143.47,405.67,371.78,1370.77,1433.83,1251.11,306964,1755486.29,6196556.31
충남,3564940.37,1245780.75,7917061.17,9162841.91,2445935.33,325672.67,1453579.93,93441.94,16.02,141664.07,8800.8,6099.24,129162.35,730340.18,46222.26,4916257.75,4059280.99,302912.67,1191886.25,872406.83,4502646.1,563436.23,10206191.83,484948.5,813414.04,916320.36,2975614.76,33154.09,11065.34,72540.02,6126.97,34537529.49,37309137.49,50036919.77
충북,2598277.87,1437504.49,5720481.8,7157986.29,967310.36,118185.23,1321194.53,151184.08,19.31,149637.97,4038.12,53719.66,51727.88,818546,30422.65,16140.38,1893112.77,901437.04,1058061.56,2113042.4,386134.4,763248.28,3146442.53,102143.75,1949095.84,446525.3,771537.54,21738.53,24893.59,546611.79,4642.41,16725298.3,17810793.89,27567058.05
합계,84426796.01,27108812.49,161049216,188158028.49,19064576.59,1638860.84,12817417.43,1320643.58,200226.75,6073087.66,525936.09,411134.28,1564226.96,7657446.67,1114556.96,13407837.91,41631203.2,3327283.43,9132418.89,10538880.35,30084240.78,8195330.41,57451081.39,3492726.71,9260192.52,11299945.52,18870665.57,4832382.15,654021.42,2591094.85,78421.43,256532402.9,277235840.32,549820664.83
